ISIN,Prezzo,Cedola Semestrale Lorda,Cedola Annua Lorda %,Data di Scadenza,Mesi alla Scadenza,Rendimento Totale Lordo %,Rendimento lordo Annuo %,Nazione
XS1968706876,77.16,4.62,11.99,03/04/2049,285,311.32,13.11,REPUBLIC OF ROMANIA
XS2908645265,94.36,6.0,12.72,24/09/2044,230,247.6,12.92,REPUBLIC OF ROMANIA
XS2109813142,62.56,3.38,10.79,28/01/2050,294,324.19,13.23,REPUBLIC OF ROMANIA
XS2330514899,64.17,2.75,8.57,14/04/2041,189,188.69,11.98,REPUBLIC OF ROMANIA
XS2258400162,63.87,2.62,8.22,02/12/2040,185,179.87,11.67,REPUBLIC OF ROMANIA
XS1892127470,80.85,4.12,10.2,11/03/2039,164,161.44,11.81,REPUBLIC OF ROMANIA
XS1768074319,75.62,3.38,8.93,08/02/2038,151,143.82,11.43,REPUBLIC OF ROMANIA
XS1313004928,84.35,3.88,9.19,29/10/2035,123,110.43,10.77,REPUBLIC OF ROMANIA
XS2434895806,87.03,3.75,8.62,07/02/2034,103,88.15,10.27,REPUBLIC OF ROMANIA
XS1970549561,85.28,3.5,8.21,03/04/2034,105,87.03,9.95,REPUBLIC OF ROMANIA
XS2689948078,105.32,6.38,12.11,18/09/2033,98,91.8,11.24,REPUBLIC OF ROMANIA
XS2330503694,78.49,2.0,5.1,14/04/2033,93,65.63,8.47,REPUBLIC OF ROMANIA
XS2109812508,83.12,2.0,4.81,28/01/2032,78,51.59,7.94,REPUBLIC OF ROMANIA
XS2908644615,100.2,5.12,10.23,24/09/2031,74,61.18,9.92,REPUBLIC OF ROMANIA
XS2027596530,85.39,2.12,4.97,16/07/2031,72,46.96,7.83,REPUBLIC OF ROMANIA
XS2259191430,51.32,1.5,5.85,17/11/2050,304,241.0,9.51,REPUBLIC OF HUNGARY
XS2364199757,87.54,1.75,4.0,13/07/2030,60,34.22,6.84,REPUBLIC OF ROMANIA
XS2178857954,96.2,3.62,7.53,26/05/2030,58,37.85,7.83,REPUBLIC OF ROMANIA
XS2434393968,99.38,0.95,1.91,20/01/2032,78,13.05,2.01,REPUBLIC OF CYPRUS
GR0138012787,98.01,4.3,8.77,24/02/2040,175,129.26,8.86,REPUBLIC OF GREECE
IT0005611741,98.18,2.15,4.38,01/10/2054,351,128.87,4.41,REPUBLIC OF ITALY
IT0005534141,101.94,2.25,4.41,01/10/2053,339,121.7,4.31,REPUBLIC OF ITALY
IT0005217390,70.0,1.4,4.0,01/03/2067,500,208.86,5.01,REPUBLIC OF ITALY
XS1768067297,92.42,2.5,5.41,08/02/2030,55,32.55,7.1,REPUBLIC OF ROMANIA
GR0138014809,99.5,4.3,8.64,24/02/2042,199,143.12,8.63,REPUBLIC OF GREECE
XS2181689659,79.55,1.75,4.4,05/06/2035,119,67.5,6.81,REPUBLIC OF HUNGARY
GR0138013793,99.8,4.3,8.62,24/02/2041,187,133.77,8.58,REPUBLIC OF GREECE
IT0005480980,66.36,1.07,3.24,01/09/2052,326,138.17,5.09,REPUBLIC OF ITALY
GR0138011771,100.01,4.3,8.6,24/02/2039,163,116.08,8.55,REPUBLIC OF GREECE
IT0005398406,72.48,1.23,3.38,01/09/2050,302,122.48,4.87,REPUBLIC OF ITALY
IT0005441883,57.72,1.07,3.72,01/03/1972,-640,-126.03,0,REPUBLIC OF ITALY
XS2890435600,99.76,4.25,8.52,05/09/2044,230,162.13,8.46,REPUBLIC OF BULGARIA
IT0005363111,94.48,1.93,4.07,01/09/2049,290,103.64,4.29,REPUBLIC OF ITALY
FR0010870956,95.7,4.0,8.36,25/04/2060,417,292.89,8.43,REPUBLIC OF FRANCE
XS2538441598,108.96,6.62,12.16,27/09/2029,50,40.42,9.7,REPUBLIC OF ROMANIA
IT0005273013,89.23,1.73,3.87,01/03/2048,272,99.06,4.37,REPUBLIC OF ITALY
IT0005425233,60.85,0.85,2.79,01/09/2051,314,136.98,5.23,REPUBLIC OF ITALY
XS2680932907,107.84,5.38,9.97,12/09/2033,98,72.48,8.87,REPUBLIC OF HUNGARY
FR0013154028,52.36,1.75,6.68,25/05/2066,490,361.71,8.86,REPUBLIC OF FRANCE
IT0005162828,79.32,1.35,3.4,01/03/2047,260,99.26,4.58,REPUBLIC OF ITALY
IT0005083057,87.3,1.62,3.72,01/09/2046,254,92.73,4.38,REPUBLIC OF ITALY
GR0138010765,101.0,4.3,8.51,24/02/2038,151,105.45,8.38,REPUBLIC OF GREECE
XS2586944147,100.73,4.25,8.44,14/02/2043,211,146.95,8.36,Repubblica di Polonia
XS2262211076,89.0,1.38,3.09,02/12/2029,53,24.72,5.6,REPUBLIC OF ROMANIA
FR001400FTH3,80.4,3.0,7.46,25/05/2054,346,237.06,8.22,REPUBLIC OF FRANCE
FR0010171975,96.95,4.0,8.25,25/04/2055,357,246.57,8.29,REPUBLIC OF FRANCE
IT0005631608,99.65,2.05,4.11,30/04/2046,249,84.7,4.08,REPUBLIC OF ITALY
IT0005530032,104.3,2.23,4.27,01/09/2043,218,72.67,4.0,REPUBLIC OF ITALY
